ID,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
A000,135,"W Matsuyama, H Mitsuyama, M Watanabe",Effects of omega-3 polyunsaturated fatty acids on inflammatory markers in COPD,2005,Chest,Elsevier,https://www.sciencedirect.com/science/article/pii/S0012369215496230,"https://scholar.google.com/scholar?cites=3449352398118547878&as_sdt=400005&sciodt=0,14&hl=en",,,,,,,,,,,,,,,
F000,408,"PC Calder, R Albers, JM Antoine, S Blum, ...",Inflammatory disease processes and interactions with nutrition,2009.0,British Journal of …,cambridge.org,https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/inflammatory-disease-processes-and-interactions-with-nutrition/8B6E145706102090539C4CE52A58F35E,"https://scholar.google.com/scholar?cites=5178055532738990791&as_sdt=400005&sciodt=0,14&hl=en",1,2019-04-25,,,,,,,,,408,40.8,82,5,10.0
F001,284,"SP Khanapure, DS Garvey, DR Janero, ...","Eicosanoids in inflammation: biosynthesis, pharmacology, and therapeutic frontiers",2007.0,Current topics in …,ingentaconnect.com,https://www.ingentaconnect.com/content/ben/ctmc/2007/00000007/00000003/art00008,"https://scholar.google.com/scholar?cites=4223775120273342802&as_sdt=400005&sciodt=0,14&hl=en",2,2019-04-25,,,,,,,,,284,23.67,71,4,12.0
F002,259,"JWC Sijben, PC Calder",Differential immunomodulation with long-chain n-3 PUFA in health and chronic disease,2007.0,Proceedings of the Nutrition Society,cambridge.org,https://www.cambridge.org/core/journals/proceedings-of-the-nutrition-society/article/differential-immunomodulation-with-longchain-n3-pufa-in-health-and-chronic-disease/0C104D224AD5110B1D1A452CE9AE20FD,"https://scholar.google.com/scholar?cites=16230496740313705856&as_sdt=400005&sciodt=0,14&hl=en",3,2019-04-25,,,,,,,,,259,21.58,130,2,12.0
F003,245,"BM Yashodhara, S Umakanth, ...",Omega-3 fatty acids: a comprehensive review of their role in health and disease,2009.0,Postgraduate medical …,pmj.bmj.com,https://pmj.bmj.com/content/85/1000/84.short,"https://scholar.google.com/scholar?cites=15144401712752210141&as_sdt=400005&sciodt=0,14&hl=en",4,2019-04-25,,,,,,,,,245,24.5,82,3,10.0
F004,178,DH Morris,Flax: A health and nutrition primer,2007.0,,Flax Council of Canada,,"https://scholar.google.com/scholar?cites=2912450241738773830&as_sdt=400005&sciodt=0,14&hl=en",5,2019-04-25,CITATION,,,,,,,,178,14.83,178,1,12.0
F005,115,"K Sugawara, H Takahashi, C Kasai, N Kiyokawa, ...",Effects of nutritional supplementation combined with low-intensity exercise in malnourished patients with COPD,2010.0,Respiratory …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0954611110002246,"https://scholar.google.com/scholar?cites=442174228664830130&as_sdt=400005&sciodt=0,14&hl=en",6,2019-04-25,HTML,,,,,,,,115,12.78,23,5,9.0
F006,111,"B Tartibian, BH Maleki, A Abbasi",The effects of ingestion of omega-3 fatty acids on perceived pain and external symptoms of delayed onset muscle soreness in untrained men,2009.0,Clinical Journal of Sport …,journals.lww.com,https://journals.lww.com/cjsportsmed/Abstract/2009/03000/The_Effects_of_Ingestion_of_Omega_3_Fatty_Acids_on.7.aspx,"https://scholar.google.com/scholar?cites=8699080279681057217&as_sdt=400005&sciodt=0,14&hl=en",7,2019-04-25,,,,,,,,,111,11.1,37,3,10.0
F007,83,"K Sugawara, H Takahashi, T Kashiwagura, ...",Effect of anti-inflammatory supplementation with whey peptide and exercise therapy in patients with COPD,2012.0,Respiratory …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0954611112002387,"https://scholar.google.com/scholar?cites=560203915559490247&as_sdt=400005&sciodt=0,14&hl=en",8,2019-04-25,HTML,,,,,,,,83,11.86,21,4,7.0
F008,82,"W Aniwidyaningsih, R Varraso, N Cano, ...",Impact of nutritional status on body functioning in chronic obstructive pulmonary disease and how to intervene,2008.0,Current opinion in …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2736295/,"https://scholar.google.com/scholar?cites=11676955522823914498&as_sdt=400005&sciodt=0,14&hl=en",9,2019-04-25,HTML,,,,,,,,82,7.45,21,4,11.0
