from ,to
F033S003,F005
F033S003,F007
F033S003,F031
F033S003,F032
F036,F033
F041,F020
F041,F031
F057,F005
F057,F031
F134,F005
F134,F007
F005S004,F007
F005S047,F007
F005S053,F023
F005S054,F007
F005S057,F023
F005S063,F007
F005S063,F032
F005S068,F007
F005S076,F007
F005S096,F007
F005S097,F007
F006S015,F010
F006S024,F010
F006S030,F010
F006S039,F010
F006S075,F010
F006S103,F010
F059,F005
F059,F007
F066S004,F005
F066S004,F007
F076,F050
F121,F023
F049S001,F049
F005S002,F007
F005S003,F007
F005S011,F007
F005S012,F031
F005S015,F007
F005S032,F007
F005S034,F007
F005S036,F007
F005S040,F005
F005S050,F007
F005S059,F007
F005S066,F007
F005S069,F007
F005S074,F038
F005S083,F007
F005S101,F007
F005S105,F007
F005S114,F007
F006S004,F010
F006S008,F010
F006S009,F010
F006S010,F010
F006S014,F010
F006S033,F010
F006S037,F010
F019,F037
F006S064,F010
F006S082,F010
F006S084,F010
F007,F005
F007S009,F018
F007S033,F010
F007S051,F010
F001S006,F002
F009,F017
F001S124,F002
F011S021,F011
F012S017,F018
F028S009,F044
F031S007,F036
F033S005,F036
F033S011,F031
F033S012,F031
F033S013,F031
F047,F044
F049S000,F049
F049S002,F049
F050,F011
F050S001,F054
F054,F011
F073,F060
F079,F011
F083,F005
F095,F055
F119,F005
F120,F005
F000S044,F002
F000S162,F002
F001S246,F002
F002S051,F003
F124,F003
F026,F002
F026,F022
F001S017,F000
F005S048,F046
F121,F008
F005S053,F046
F005S057,F046
F000S014,F002
F000S152,F002
F000S343,F003
F001S117,F013
F005S078,F016
F005S100,F046
F005S102,F046
F020,F037
F067,F064
F005S004,F016
F000S353,F003
F005S001,F008
F005S013,F008
F006S000,F030
F007S080,F008
F018,F002
F125,F026
F005S047,F008
F000S314,F002
F001S164,F000
F007S031,F008
F017S007,F000
F021,F009
F031S002,F009
F130,F009
F033S003,F013
F024,F002
F036,F009
F005S054,F008
F000S107,F004
F005S107,F008
F007S071,F008
F036,F047
F041,F037
F057,F016
F005S097,F059
F006S015,F030
F007S019,F016
F007S020,F016
F007S025,F016
F008S012,F009
F012S018,F009
F134,F008
F005S068,F008
F005S096,F008
F006S024,F030
F006S103,F030
F000S392,F003
F002S116,F003
F003S179,F004
F006S026,F030
F007S060,F000
F010S050,F003
F012S023,F000
F014S022,F004
F024S016,F002
F006S030,F030
F006S039,F030
F006S063,F030
F007S049,F008
F009S071,F057
F036S000,F009
F006S075,F030
F005S079,F009
F006S041,F030
F006S073,F030
F036S008,F013
F038S002,F022
F000S389,F002
F006S078,F026
F004S007,F004
F004S036,F004
F004S104,F004
F004S126,F004
F004S138,F004
F004S149,F004
F004S152,F004
F008S065,F008
F027,A000
F039,A000
F131,A000
