"X.U.FEFF.ID","Authors","Title","Year"
"A000","W Matsuyama, H Mitsuyama, M Watanabe","Effects of omega-3 polyunsaturated fatty acids on inflammatory markers in COPD",2005
"F000","PC Calder, R Albers, JM Antoine, S Blum, ...","Inflammatory disease processes and interactions with nutrition",2009
"F000S000","PC Calder","Marine omega-3 fatty acids and inflammatory processes: effects, mechanisms and clinical relevance",2015
"F000S001","PC Calder, N Ahluwalia, F Brouns, T Buetler, ...","Dietary factors and low-grade inflammation in relation to overweight and obesity",2011
"F000S002","PC Calder","Omega-3 fatty acids and inflammatory processes",2010
"F000S003","JS Lai, S Hiles, A Bisquera, AJ Hure, ...","A systematic review and meta-analysis of dietary patterns and depression in community-dwelling adults",2013
"F000S004","PC Calder","Fatty acids and inflammation: the cutting edge between food and pharma",2011
"F000S005","MH Pan, CS Lai, CT Ho","Anti-inflammatory activity of natural dietary flavonoids",2010
"F000S006","I Bondia-Pons, L Ryan, JA Martinez","Oxidative stress and inflammation interactions in human obesity",2012
"F000S007","PC Calder","n-3 Fatty acids, inflammation and immunity: new mechanisms to explain old actions",2013
"F000S008","AM Minihane, S Vinoy, WR Russell, A Baka, ...","Low-grade inflammation, diet composition and health: current research evidence and its translation",2015
"F000S009","JK Kiecolt-Glaser","Stress, food, and inflammation: psychoneuroimmunology and nutrition at the cutting edge",2010
"F000S010","FH Nielsen","Magnesium, inflammation, and obesity in chronic disease",2010
"F000S011","GH Johnson, K Fritsche","Effect of dietary linoleic acid on markers of inflammation in healthy persons: a systematic review of randomized controlled trials",2012
"F000S012","PC Calder, N Ahluwalia, R Albers, N Bosco, ...","A consideration of biomarkers to be used for evaluation of inflammation in human nutritional studies",2013
"F000S013","B Ruiz-Núñez, L Pruimboom, DAJ Dijck-Brouwer, ...","Lifestyle and nutritional imbalances associated with Western diseases: causes and consequences of chronic systemic low-grade inflammation in an …",2013
"F000S015","B Garcia-Bailo, A El-Sohemy, PS Haddad, ...","Vitamins D, C, and E in the prevention of type 2 diabetes mellitus: modulation of inflammation and oxidative stress",2011
"F000S016","B Wang, X Gong, J Wan, L Zhang, Z Zhang, H Li, ...","Resolvin D1 protects mice from LPS-induced acute lung injury",2011
"F000S017","PC Calder","Long-chain fatty acids and inflammation",2012
"F000S018","PC Calder","Very long chain omega-3 (n-3) fatty acids and human health",2014
"F000S019","N Mikirova, J Casciari, A Rogers, ...","Effect of high-dose intravenous vitamin C on inflammation in cancer patients",2012
"F000S020","Y Arnson, H Amital, N Agmon-Levin, D Alon, ...","Serum 25-OH vitamin D concentrations are linked with various clinical aspects in patients with systemic sclerosis: a retrospective cohort study and review of …",2011
"F000S021","E Teixeira de Lemos, J Oliveira, ...","Regular physical exercise as a strategy to improve antioxidant and anti-inflammatory status: benefits in type 2 diabetes mellitus",2012
"F000S022","G Chiva-Blanch, F Visioli","Polyphenols and health: moving beyond antioxidants",2012
"F000S023","CC Awh, AM Lane, S Hawken, B Zanke, IK Kim","CFH and ARMS2 genetic polymorphisms predict response to antioxidants and zinc in patients with age-related macular degeneration",2013
"F000S024","G Ferretti, T Bacchetti, S Masciangelo, L Saturni","Celiac disease, inflammation and oxidative damage: a nutrigenetic approach",2012
"F000S025","DJ Raiten, FAS Ashour, AC Ross, ...","Inflammation and nutritional science for programs/policies and interpretation of research evidence (INSPIRE)",2015
"F000S026","CM Andre, Y Larondelle, D Evers","Dietary antioxidants and oxidative stress from a human and plant perspective: a review",2010
"F000S027","A Bendich, RJ Deckelbaum","Preventive nutrition",2005
"F000S028","RA Othman, MH Moghadasian","Beyond cholesterol-lowering effects of plant sterols: clinical and experimental evidence of anti-inflammatory properties",2011
"F000S029","KEC Grimshaw, J Maskell, EM Oliver, RCG Morris, ...","Introduction of complementary foods and the relationship to food allergy",2013
"F000S031","GP Rutger","Rheumatoid arthritis and periodontitis-inflammatory and infectious connections. Review of the literature.",2012
"F000S032","GR Persson","Rheumatoid arthritis and periodontitis–inflammatory and infectious connections. Review of the literature",2012
"F000S033","W Raphael, L Sordillo","Dietary polyunsaturated fatty acids and inflammation: the role of phospholipid biosynthesis",2013
"F000S034","D Vauzour","Effect of flavonoids on learning, memory and neurocognitive performance: relevance and potential implications for Alzheimer's disease pathophysiology",2014
"F000S035","S Afrin, M Gasparrini, ...","Promising health benefits of the strawberry: a focus on clinical studies",2016
"F000S036","MA Reynolds","Modifiable risk factors in periodontitis: at the intersection of aging and disease",2014
"F000S037","I Rodríguez-Ramiro, S Ramos, L Bravo, L Goya, ...","Procyanidin B2 induces Nrf2 translocation and glutathione S-transferase P1 expression via ERKs and p38-MAPK pathways and protect human colonic cells …",2012
"F000S038","JR Rapin, N Wiernsperger","Possible links between intestinal permeablity and food processing: a potential therapeutic niche for glutamine",2010
"F000S039","S McKay, E Gaudier, DI Campbell, ...","Environmental enteropathy: new targets for nutritional interventions",2010
"F000S040","K Sterz, G Scherer, J Ecker","A simple and robust UPLC-SRM/MS method to quantify urinary eicosanoids",2012
"F000S041","R Albers, R Bourdet-Sicard, D Braun, ...","Monitoring immune modulation by nutrition in the general population: identifying and substantiating effects on human health",2013
"F000S042","MN Islam, IJ Ishita, SE Jin, RJ Choi, CM Lee, ...","Anti-inflammatory activity of edible brown alga Saccharina japonica and its constituents pheophorbide a and pheophytin a in LPS-stimulated RAW 264.7 …",2013
"F000S043","KEC Grimshaw, J Maskell, EM Oliver, ...","Diet and food allergy development during infancy: birth cohort study findings using prospective food diary data",2014
"F000S045","RA Mathias, C Vergara, L Gao, N Rafaels, T Hand, ...","FADS genetic variants and <U+03C9>-6 polyunsaturated fatty acid metabolism in a homogeneous island population",2010
"F000S046","A Toubal, K Clément, R Fan, P Ancel, ...","SMRT-GPS2 corepressor pathway dysregulation coincides with obesity-linked adipocyte inflammation",2012
"F000S047","NP Aptekmann, TB Cesar","Long-term orange juice consumption is associated with low LDL-cholesterol and apolipoprotein B in normal and moderately hypercholesterolemic subjects",2013
"F000S048","A Nicolaou","Eicosanoids in skin inflammation",2013
"F000S049","A Sorice, E Guerriero, F Capone, ...","Ascorbic acid: its role in immune system and chronic inflammation diseases",2014
"F000S050","R Ehehalt, A Braun, M Karner, J Füllekrug, ...","Phosphatidylcholine as a constituent in the colonic mucosal barrier—physiological and clinical relevance",2010
"F000S051","H Xue, AJD Sufit, ...","Glutamine therapy improves outcome of in vitro and in vivo experimental colitis models",2011
"F000S052","AA Welch","Nutritional influences on age-related skeletal muscle loss",2014
"F000S053","F Visioli, A Davalos","Polyphenols and cardiovascular disease: a critical summary of the evidence",2011
"F000S054","LM Minns, EH Kerling, MR Neely, DK Sullivan, ...","Toddler formula supplemented with docosahexaenoic acid (DHA) improves DHA status and respiratory health in a randomized, double-blind, controlled trial …",2010
"F000S055","E Navarro, AN Funtikova, M Fíto, ...","Can metabolically healthy obesity be explained by diet, genetics, and inflammation?",2015
"F000S056","I Peluso, A Raguzzini, M Serafini","Effect of flavonoids on circulating levels of TNF-a and IL-6 in humans: A systematic review and meta-analysis",2013
"F000S057","DJ Millward","Nutrition and sarcopenia: evidence for an interaction",2012
"F000S058","DJ Stumpo, WS Lai, ...","Inflammation: cytokines and RNA-based regulation",2010
"F000S059","M Serafini, C Miglio, I Peluso, ...","Modulation of plasma non enzimatic antioxidant capacity (NEAC) by plant foods: the role of polyphenol",2011
"F000S060","S Hagner, H Harb, M Zhao, K Stein, O Holst, MJ Ege, ...","Farm-derived Gram-positive bacterium Staphylococcus sciuri W620 prevents asthma phenotype in HDM- and OVA-exposed mice",2013
"F000S061","A Strohle, M Wolters, A Hahn","Micronutrients at the interface between inflammation and infection ascorbic acid and calciferol. Part 1: general overview with a focus on ascorbic acid",2011
"F000S062","B Gleize, F Tourniaire, L Depezay, R Bott, ...","Effect of type of TAG fatty acids on lutein and zeaxanthin bioavailability",2013
"F000S063","L Martinez-Rubio, S Morais, Ø Evensen, S Wadsworth, ...","Functional feeds reduce heart inflammation and pathology in Atlantic salmon (Salmo salar L.) following experimental challenge with Atlantic salmon reovirus …",2012
"F000S064","R Robertson, F Guihéneuf, B Bahar, M Schmid, ...","The anti-inflammatory effect of algae-derived lipid extracts on lipopolysaccharide (LPS)-stimulated human THP-1 macrophages",2015
"F000S065","E Maslova, M Strøm, E Oken, H Campos, ...","Fish intake during pregnancy and the risk of child asthma and allergic rhinitis–longitudinal evidence from the Danish National Birth Cohort",2013
"F000S066","D Calçada, D Vianello, E Giampieri, C Sala, ...","The role of low-grade inflammation and metabolic flexibility in aging and nutritional modulation thereof: a systems biology approach",2014
"F000S067","M Serafini, D Del Rio, DND Yao, ...","Health benefits of tea",2011
"F000S068","PC Calder, N Bosco, R Bourdet-Sicard, L Capuron, ...","Health relevance of the modification of low grade inflammation in ageing (inflammageing) and the role of nutrition",2017
"F000S069","KD Tipton","Nutritional support for exercise-induced injuries",2015
"F000S070","J Ecker","Profiling eicosanoids and phospholipids using LC-MS/MS: P rinciples and recent applications",2012
"F000S071","L Martinez-Rubio, S Morais, Ø Evensen, ...","Effect of functional feeds on fatty acid and eicosanoid metabolism in liver and head kidney of Atlantic salmon (Salmo salar L.) with experimentally induced …",2013
"F000S072","G Xiao, L Tang, F Yuan, W Zhu, S Zhang, Z Liu, ...","Eicosapentaenoic acid enhances heat stress-impaired intestinal epithelial barrier function in Caco-2 cells",2013
"F000S073","J Lademann, A Patzelt, S Schanzer, H Richter, ...","Uptake of antioxidants by natural nutrition and supplementation: pros and cons from the dermatological point of view",2011
"F000S074","MD Kontogianni, A Vlassopoulos, A Gatzieva, ...","Flaxseed oil does not affect inflammatory markers and lipid profile compared to olive oil, in young, healthy, normal weight adults",2013
"F000S075","H Schröder, R Ramos, JM Baena-Díez, ...","Determinants of the transition from a cardiometabolic normal to abnormal overweight/obese phenotype in a Spanish population",2014
"F000S076","E Kerasioti, D Stagos, A Jamurtas, A Kiskini, ...","Anti-inflammatory effects of a special carbohydrate–whey protein cake after exhaustive cycling in humans",2013
"F000S077","I Peluso, DV Villano, SA Roberts, ...","Consumption of mixed fruit-juice drink and vitamin C reduces postprandial stress induced by a high fat meal in healthy overweight subjects",2014
"F000S078","C Morin, PU Blier, S Fortin","Eicosapentaenoic acid and docosapentaenoic acid monoglycerides are more potent than docosahexaenoic acid monoglyceride to resolve inflammation in a …",2015
"F000S079","B Allam-Ndoul, F Guénard, ...","Effect of n-3 fatty acids on the expression of inflammatory genes in THP-1 macrophages",2016
"F000S080","AA Welch, AJ MacGregor, AM Minihane, ...","Dietary fat and fatty acid profile are associated with indices of skeletal muscle mass in women aged 18–79 years",2014
"F000S081","JK Innes, PC Calder","Omega-6 fatty acids and inflammation",2018
"F000S082","ZA Zakaria, MK Hussain, AS Mohamad, ...","Anti-Inflammatory Activity of the Aqueous Extract of Ficus Deltoidea",2012
